,Unnamed: 0,Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
0,0,Milwaukee Bucks,Atlanta Hawks,1.0,0.506,0.367,0.694,41.0,19.0,13.3,8.6,3.8,1.0,112.4,112.5,0.609,0.0,0.45,0.279,0.81,40.6,24.5,12.3,9.0,3.3,-5.7,108.5,115.2,0.554,0,10/29/2023
1,1,Houston Rockets,Golden State Warriors,0.0,0.469,0.303,0.556,35.9,23.8,18.0,6.3,2.4,-16.5,101.0,116.9,0.534,0.5,0.447,0.32,0.81,42.7,24.8,14.6,12.1,4.4,1.9,109.7,107.8,0.547,0,10/29/2023
2,2,Philadelphia 76ers,Portland Trail Blazers,0.5,0.506,0.413,0.755,40.9,25.3,13.1,8.1,5.6,3.0,116.7,114.2,0.616,0.0,0.436,0.297,0.816,44.6,17.9,17.4,8.2,2.6,-8.7,106.7,115.4,0.526,1,10/29/2023
3,3,LA Clippers,San Antonio Spurs,0.5,0.527,0.435,0.795,40.7,26.6,17.1,9.5,6.5,5.0,121.1,116.1,0.647,0.5,0.503,0.312,0.74,40.4,29.8,17.0,8.7,4.1,-1.4,112.4,113.8,0.598,1,10/29/2023
4,4,Sacramento Kings,Los Angeles Lakers,0.5,0.449,0.341,0.755,41.0,25.2,12.4,7.6,5.2,3.8,116.2,112.9,0.561,0.5,0.443,0.259,0.776,43.0,23.5,14.0,9.5,5.5,-3.5,103.5,107.0,0.529,1,10/29/2023
5,5,Oklahoma City Thunder,Denver Nuggets,1.0,0.503,0.492,0.811,43.9,25.4,16.6,6.8,6.8,11.2,113.2,102.5,0.626,1.0,0.497,0.394,0.7,40.9,28.3,15.7,10.1,7.6,8.1,114.6,106.0,0.591,0,10/29/2023
6,6,Washington Wizards,Boston Celtics,0.5,0.444,0.357,0.784,42.1,24.8,12.1,7.0,6.5,-7.5,108.9,116.9,0.551,1.0,0.477,0.359,0.778,51.5,19.4,14.3,6.6,8.7,6.1,115.8,109.7,0.592,0,10/30/2023
7,7,Charlotte Hornets,Brooklyn Nets,0.5,0.437,0.277,0.75,43.4,25.5,17.5,8.5,4.7,-2.8,101.4,104.7,0.536,0.0,0.494,0.429,0.806,48.0,29.7,16.8,5.4,5.0,-3.0,115.3,119.5,0.607,0,10/30/2023
8,8,Indiana Pacers,Chicago Bulls,1.0,0.507,0.432,0.862,47.4,35.4,9.6,6.2,5.7,16.7,128.2,111.5,0.615,0.333,0.402,0.284,0.79,42.2,19.9,12.6,10.0,4.3,-11.6,103.0,114.2,0.495,0,10/30/2023
9,9,Atlanta Hawks,Minnesota Timberwolves,0.333,0.469,0.327,0.812,41.8,26.6,13.6,10.8,2.8,1.6,113.0,112.8,0.575,0.5,0.419,0.308,0.8,54.5,25.0,15.0,8.5,6.0,6.5,100.0,94.0,0.502,1,10/30/2023
10,10,Toronto Raptors,Portland Trail Blazers,0.333,0.433,0.388,0.683,46.7,26.5,16.6,6.3,6.0,-1.7,101.7,102.6,0.534,0.0,0.418,0.274,0.833,43.3,18.1,16.8,8.7,4.7,-15.1,102.7,117.8,0.508,0,10/30/2023
11,11,Memphis Grizzlies,Dallas Mavericks,0.0,0.429,0.333,0.849,42.1,23.3,16.8,9.1,7.1,-5.8,101.6,107.1,0.543,1.0,0.479,0.361,0.765,42.3,21.2,10.1,5.3,2.4,5.8,120.7,114.4,0.591,0,10/30/2023
12,12,New Orleans Pelicans,Golden State Warriors,1.0,0.465,0.354,0.632,46.6,20.6,16.7,7.8,4.9,7.8,101.5,93.6,0.548,0.667,0.442,0.35,0.8,45.5,25.9,14.6,10.3,5.0,5.0,110.3,105.7,0.558,0,10/30/2023
13,13,Denver Nuggets,Utah Jazz,1.0,0.532,0.398,0.744,44.0,30.7,15.0,9.6,6.8,16.7,121.2,103.4,0.621,0.333,0.442,0.349,0.821,47.2,24.6,15.4,6.2,3.6,-11.8,110.8,122.2,0.55,1,10/30/2023
14,14,Milwaukee Bucks,Miami Heat,0.5,0.479,0.365,0.732,39.6,20.3,17.9,9.2,3.4,-7.7,110.1,117.3,0.595,0.333,0.41,0.387,0.762,46.2,24.0,11.6,8.6,3.4,-7.9,104.1,110.8,0.514,1,10/30/2023
15,15,Los Angeles Lakers,Orlando Magic,0.333,0.441,0.291,0.771,44.3,23.6,12.7,7.3,4.8,-3.8,106.4,110.5,0.541,1.0,0.47,0.29,0.759,53.1,21.4,15.6,9.4,5.7,18.2,113.5,95.8,0.569,1,10/30/2023
16,16,Oklahoma City Thunder,Detroit Pistons,0.667,0.471,0.392,0.818,39.4,24.5,14.6,7.3,6.0,-3.3,108.3,112.7,0.577,0.667,0.474,0.367,0.767,54.7,28.7,19.6,4.7,7.8,9.1,111.8,102.7,0.566,1,10/30/2023
17,17,Cleveland Cavaliers,New York Knicks,0.333,0.437,0.345,0.719,45.5,24.4,10.2,7.3,6.6,-4.6,109.6,114.2,0.534,0.333,0.404,0.369,0.667,49.8,24.1,15.2,8.3,3.0,-2.3,104.6,106.2,0.513,0,10/31/2023
